traffic_delay,hour,day_of_week,minute,duration_seconds,destination,duration_traffic_seconds,distance_meters,origin,is_weekend,timestamp,id
185,15,5,45,1142,"Kota Gede, Yogyakarta",1327,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.806427+07:00,"2025-08-09T15-45-45.806427+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
175,15,5,45,1114,"Prawirotaman, Yogyakarta",1289,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.941316+07:00,"2025-08-09T15-45-45.941316+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
37,15,5,50,464,"Stasiun Lempuyangan, Yogyakarta",501,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:52.426088+07:00,"2025-08-09T15-50-52.426088+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
28,15,5,50,528,"Stasiun Tugu, Yogyakarta",556,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:52.503730+07:00,"2025-08-09T15-50-52.503730+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
44,15,5,50,518,"Tugu Jogja, Yogyakarta",562,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:52.711730+07:00,"2025-08-09T15-50-52.711730+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
125,15,5,50,589,"Malioboro, Yogyakarta",714,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:52.854192+07:00,"2025-08-09T15-50-52.854192+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
84,15,5,50,1182,"Kota Gede, Yogyakarta",1266,8236,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:53.008568+07:00,"2025-08-09T15-50-53.008568+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
178,15,5,50,1114,"Prawirotaman, Yogyakarta",1292,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:50:53.141414+07:00,"2025-08-09T15-50-53.141414+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
38,15,5,55,464,"Stasiun Lempuyangan, Yogyakarta",502,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:58.312315+07:00,"2025-08-09T15-55-58.312315+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
16,15,5,55,528,"Stasiun Tugu, Yogyakarta",544,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:58.517078+07:00,"2025-08-09T15-55-58.517078+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
20,15,5,55,518,"Tugu Jogja, Yogyakarta",538,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:58.606259+07:00,"2025-08-09T15-55-58.606259+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
126,15,5,55,589,"Malioboro, Yogyakarta",715,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:58.804865+07:00,"2025-08-09T15-55-58.804865+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
172,15,5,55,1142,"Kota Gede, Yogyakarta",1314,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:59.001100+07:00,"2025-08-09T15-55-59.001100+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
198,15,5,55,1114,"Prawirotaman, Yogyakarta",1312,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:55:59.216942+07:00,"2025-08-09T15-55-59.216942+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
53,16,5,1,464,"Stasiun Lempuyangan, Yogyakarta",517,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:05.820748+07:00,"2025-08-09T16-01-05.820748+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
17,16,5,1,528,"Stasiun Tugu, Yogyakarta",545,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:05.947777+07:00,"2025-08-09T16-01-05.947777+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
30,16,5,1,518,"Tugu Jogja, Yogyakarta",548,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:06.106255+07:00,"2025-08-09T16-01-06.106255+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
147,16,5,1,589,"Malioboro, Yogyakarta",736,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:06.201604+07:00,"2025-08-09T16-01-06.201604+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
196,16,5,1,1142,"Kota Gede, Yogyakarta",1338,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:06.413240+07:00,"2025-08-09T16-01-06.413240+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
146,16,5,1,1114,"Prawirotaman, Yogyakarta",1260,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:01:06.552798+07:00,"2025-08-09T16-01-06.552798+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
41,16,5,6,464,"Stasiun Lempuyangan, Yogyakarta",505,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:12.326954+07:00,"2025-08-09T16-06-12.326954+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
43,16,5,6,528,"Stasiun Tugu, Yogyakarta",571,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:12.433130+07:00,"2025-08-09T16-06-12.433130+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
45,16,5,6,518,"Tugu Jogja, Yogyakarta",563,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:12.652847+07:00,"2025-08-09T16-06-12.652847+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
152,16,5,6,589,"Malioboro, Yogyakarta",741,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:12.765141+07:00,"2025-08-09T16-06-12.765141+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
201,16,5,6,1141,"Kota Gede, Yogyakarta",1342,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:12.949814+07:00,"2025-08-09T16-06-12.949814+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
123,16,5,6,1114,"Prawirotaman, Yogyakarta",1237,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:06:13.101357+07:00,"2025-08-09T16-06-13.101357+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
41,16,5,11,464,"Stasiun Lempuyangan, Yogyakarta",505,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:19.522370+07:00,"2025-08-09T16-11-19.522370+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
45,16,5,11,528,"Stasiun Tugu, Yogyakarta",573,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:19.670272+07:00,"2025-08-09T16-11-19.670272+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
81,16,5,11,518,"Tugu Jogja, Yogyakarta",599,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:19.778615+07:00,"2025-08-09T16-11-19.778615+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
140,16,5,11,589,"Malioboro, Yogyakarta",729,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:19.966390+07:00,"2025-08-09T16-11-19.966390+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
173,16,5,11,1141,"Kota Gede, Yogyakarta",1314,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:20.167052+07:00,"2025-08-09T16-11-20.167052+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
150,16,5,11,1114,"Prawirotaman, Yogyakarta",1264,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:11:20.383600+07:00,"2025-08-09T16-11-20.383600+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
50,16,5,16,464,"Stasiun Lempuyangan, Yogyakarta",514,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.098598+07:00,"2025-08-09T16-16-25.098598+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
48,16,5,16,528,"Stasiun Tugu, Yogyakarta",576,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.266418+07:00,"2025-08-09T16-16-25.266418+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
89,16,5,16,518,"Tugu Jogja, Yogyakarta",607,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.371311+07:00,"2025-08-09T16-16-25.371311+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
173,16,5,16,589,"Malioboro, Yogyakarta",762,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.447642+07:00,"2025-08-09T16-16-25.447642+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
190,16,5,16,1141,"Kota Gede, Yogyakarta",1331,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.704150+07:00,"2025-08-09T16-16-25.704150+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
181,16,5,16,1114,"Prawirotaman, Yogyakarta",1295,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:16:25.825467+07:00,"2025-08-09T16-16-25.825467+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
55,16,5,21,464,"Stasiun Lempuyangan, Yogyakarta",519,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:32.450368+07:00,"2025-08-09T16-21-32.450368+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
61,16,5,21,528,"Stasiun Tugu, Yogyakarta",589,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:32.589431+07:00,"2025-08-09T16-21-32.589431+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
99,16,5,21,518,"Tugu Jogja, Yogyakarta",617,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:32.688787+07:00,"2025-08-09T16-21-32.688787+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
177,16,5,21,589,"Malioboro, Yogyakarta",766,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:32.835194+07:00,"2025-08-09T16-21-32.835194+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
205,16,5,21,1141,"Kota Gede, Yogyakarta",1346,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:32.991103+07:00,"2025-08-09T16-21-32.991103+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
174,16,5,21,1114,"Prawirotaman, Yogyakarta",1288,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:21:33.161828+07:00,"2025-08-09T16-21-33.161828+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
73,16,5,26,464,"Stasiun Lempuyangan, Yogyakarta",537,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.089111+07:00,"2025-08-09T16-26-38.089111+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
42,16,5,26,528,"Stasiun Tugu, Yogyakarta",570,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.202565+07:00,"2025-08-09T16-26-38.202565+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
105,16,5,26,518,"Tugu Jogja, Yogyakarta",623,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.402161+07:00,"2025-08-09T16-26-38.402161+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
193,16,5,26,589,"Malioboro, Yogyakarta",782,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.526440+07:00,"2025-08-09T16-26-38.526440+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
247,16,5,26,1141,"Kota Gede, Yogyakarta",1388,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.742805+07:00,"2025-08-09T16-26-38.742805+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
153,16,5,26,1114,"Prawirotaman, Yogyakarta",1267,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:26:38.966473+07:00,"2025-08-09T16-26-38.966473+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
55,16,5,31,472,"Stasiun Lempuyangan, Yogyakarta",527,2622,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:45.306835+07:00,"2025-08-09T16-31-45.306835+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
71,16,5,31,528,"Stasiun Tugu, Yogyakarta",599,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:45.520027+07:00,"2025-08-09T16-31-45.520027+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
151,16,5,31,518,"Tugu Jogja, Yogyakarta",669,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:45.648588+07:00,"2025-08-09T16-31-45.648588+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
240,16,5,31,597,"Malioboro, Yogyakarta",837,3490,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:45.745921+07:00,"2025-08-09T16-31-45.745921+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
236,16,5,31,1149,"Kota Gede, Yogyakarta",1385,7789,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:45.969718+07:00,"2025-08-09T16-31-45.969718+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
161,16,5,31,1114,"Prawirotaman, Yogyakarta",1275,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:31:46.091524+07:00,"2025-08-09T16-31-46.091524+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
70,16,5,36,464,"Stasiun Lempuyangan, Yogyakarta",534,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T16:36:51.256638+07:00,"2025-08-09T16-36-51.256638+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
