,traffic_delay,hour,day_of_week,minute,duration_seconds,destination,duration_traffic_seconds,distance_meters,origin,is_weekend,timestamp,id,timestamp_5min
14,71,15,5,25,518,"Tugu Jogja, Yogyakarta",589,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:19.074331+07:00,"2025-08-09T15-25-19.074331+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:25:00+07:00
15,194,15,5,25,589,"Malioboro, Yogyakarta",783,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:19.212974+07:00,"2025-08-09T15-25-19.212974+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:25:00+07:00
16,166,15,5,25,1141,"Kota Gede, Yogyakarta",1307,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:19.433856+07:00,"2025-08-09T15-25-19.433856+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:25:00+07:00
17,166,15,5,25,1114,"Prawirotaman, Yogyakarta",1280,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:19.710222+07:00,"2025-08-09T15-25-19.710222+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:25:00+07:00
18,19,15,5,30,464,"Stasiun Lempuyangan, Yogyakarta",483,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.093262+07:00,"2025-08-09T15-30-26.093262+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:30:00+07:00
19,15,15,5,30,528,"Stasiun Tugu, Yogyakarta",543,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.211689+07:00,"2025-08-09T15-30-26.211689+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:30:00+07:00
20,49,15,5,30,518,"Tugu Jogja, Yogyakarta",567,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.345203+07:00,"2025-08-09T15-30-26.345203+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:30:00+07:00
21,176,15,5,30,589,"Malioboro, Yogyakarta",765,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.551561+07:00,"2025-08-09T15-30-26.551561+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:30:00+07:00
22,167,15,5,30,1141,"Kota Gede, Yogyakarta",1308,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.737350+07:00,"2025-08-09T15-30-26.737350+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:30:00+07:00
23,135,15,5,30,1114,"Prawirotaman, Yogyakarta",1249,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:30:26.890700+07:00,"2025-08-09T15-30-26.890700+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:30:00+07:00
24,25,15,5,35,464,"Stasiun Lempuyangan, Yogyakarta",489,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.091566+07:00,"2025-08-09T15-35-32.091566+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:35:00+07:00
25,10,15,5,35,528,"Stasiun Tugu, Yogyakarta",538,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.178564+07:00,"2025-08-09T15-35-32.178564+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:35:00+07:00
26,16,15,5,35,518,"Tugu Jogja, Yogyakarta",534,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.259605+07:00,"2025-08-09T15-35-32.259605+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:35:00+07:00
27,135,15,5,35,589,"Malioboro, Yogyakarta",724,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.380260+07:00,"2025-08-09T15-35-32.380260+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:35:00+07:00
28,168,15,5,35,1142,"Kota Gede, Yogyakarta",1310,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.545417+07:00,"2025-08-09T15-35-32.545417+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:35:00+07:00
29,173,15,5,35,1114,"Prawirotaman, Yogyakarta",1287,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:35:32.755591+07:00,"2025-08-09T15-35-32.755591+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:35:00+07:00
30,31,15,5,40,464,"Stasiun Lempuyangan, Yogyakarta",495,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.120694+07:00,"2025-08-09T15-40-39.120694+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:40:00+07:00
31,11,15,5,40,528,"Stasiun Tugu, Yogyakarta",539,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.328311+07:00,"2025-08-09T15-40-39.328311+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:40:00+07:00
32,33,15,5,40,518,"Tugu Jogja, Yogyakarta",551,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.402430+07:00,"2025-08-09T15-40-39.402430+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:40:00+07:00
33,120,15,5,40,589,"Malioboro, Yogyakarta",709,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.602366+07:00,"2025-08-09T15-40-39.602366+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:40:00+07:00
34,107,15,5,40,1143,"Kota Gede, Yogyakarta",1250,7761,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.789335+07:00,"2025-08-09T15-40-39.789335+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:40:00+07:00
35,204,15,5,40,1114,"Prawirotaman, Yogyakarta",1318,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:40:39.959802+07:00,"2025-08-09T15-40-39.959802+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:40:00+07:00
36,23,15,5,45,464,"Stasiun Lempuyangan, Yogyakarta",487,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.289121+07:00,"2025-08-09T15-45-45.289121+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:45:00+07:00
37,9,15,5,45,528,"Stasiun Tugu, Yogyakarta",537,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.419431+07:00,"2025-08-09T15-45-45.419431+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:45:00+07:00
38,13,15,5,45,518,"Tugu Jogja, Yogyakarta",531,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.517299+07:00,"2025-08-09T15-45-45.517299+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:45:00+07:00
39,119,15,5,45,589,"Malioboro, Yogyakarta",708,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.635699+07:00,"2025-08-09T15-45-45.635699+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:45:00+07:00
40,185,15,5,45,1142,"Kota Gede, Yogyakarta",1327,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.806427+07:00,"2025-08-09T15-45-45.806427+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:45:00+07:00
41,175,15,5,45,1114,"Prawirotaman, Yogyakarta",1289,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:45:45.941316+07:00,"2025-08-09T15-45-45.941316+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:45:00+07:00
42,37,15,5,50,464,"Stasiun Lempuyangan, Yogyakarta",501,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:52.426088+07:00,"2025-08-09T15-50-52.426088+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:50:00+07:00
43,28,15,5,50,528,"Stasiun Tugu, Yogyakarta",556,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:52.503730+07:00,"2025-08-09T15-50-52.503730+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:50:00+07:00
44,44,15,5,50,518,"Tugu Jogja, Yogyakarta",562,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:52.711730+07:00,"2025-08-09T15-50-52.711730+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:50:00+07:00
45,125,15,5,50,589,"Malioboro, Yogyakarta",714,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:52.854192+07:00,"2025-08-09T15-50-52.854192+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:50:00+07:00
46,84,15,5,50,1182,"Kota Gede, Yogyakarta",1266,8236,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:53.008568+07:00,"2025-08-09T15-50-53.008568+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:50:00+07:00
47,178,15,5,50,1114,"Prawirotaman, Yogyakarta",1292,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:50:53.141414+07:00,"2025-08-09T15-50-53.141414+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:50:00+07:00
48,38,15,5,55,464,"Stasiun Lempuyangan, Yogyakarta",502,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:58.312315+07:00,"2025-08-09T15-55-58.312315+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:55:00+07:00
49,16,15,5,55,528,"Stasiun Tugu, Yogyakarta",544,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:58.517078+07:00,"2025-08-09T15-55-58.517078+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:55:00+07:00
50,20,15,5,55,518,"Tugu Jogja, Yogyakarta",538,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:58.606259+07:00,"2025-08-09T15-55-58.606259+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:55:00+07:00
51,126,15,5,55,589,"Malioboro, Yogyakarta",715,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:58.804865+07:00,"2025-08-09T15-55-58.804865+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:55:00+07:00
52,172,15,5,55,1142,"Kota Gede, Yogyakarta",1314,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:59.001100+07:00,"2025-08-09T15-55-59.001100+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:55:00+07:00
53,198,15,5,55,1114,"Prawirotaman, Yogyakarta",1312,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:55:59.216942+07:00,"2025-08-09T15-55-59.216942+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:55:00+07:00
54,53,16,5,1,464,"Stasiun Lempuyangan, Yogyakarta",517,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:05.820748+07:00,"2025-08-09T16-01-05.820748+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:00:00+07:00
55,17,16,5,1,528,"Stasiun Tugu, Yogyakarta",545,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:05.947777+07:00,"2025-08-09T16-01-05.947777+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:00:00+07:00
56,30,16,5,1,518,"Tugu Jogja, Yogyakarta",548,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:06.106255+07:00,"2025-08-09T16-01-06.106255+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 16:00:00+07:00
57,147,16,5,1,589,"Malioboro, Yogyakarta",736,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:06.201604+07:00,"2025-08-09T16-01-06.201604+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 16:00:00+07:00
58,196,16,5,1,1142,"Kota Gede, Yogyakarta",1338,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:06.413240+07:00,"2025-08-09T16-01-06.413240+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 16:00:00+07:00
59,146,16,5,1,1114,"Prawirotaman, Yogyakarta",1260,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:01:06.552798+07:00,"2025-08-09T16-01-06.552798+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 16:00:00+07:00
60,41,16,5,6,464,"Stasiun Lempuyangan, Yogyakarta",505,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:12.326954+07:00,"2025-08-09T16-06-12.326954+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:05:00+07:00
61,43,16,5,6,528,"Stasiun Tugu, Yogyakarta",571,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:12.433130+07:00,"2025-08-09T16-06-12.433130+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:05:00+07:00
62,45,16,5,6,518,"Tugu Jogja, Yogyakarta",563,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:12.652847+07:00,"2025-08-09T16-06-12.652847+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 16:05:00+07:00
63,152,16,5,6,589,"Malioboro, Yogyakarta",741,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:12.765141+07:00,"2025-08-09T16-06-12.765141+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 16:05:00+07:00
64,201,16,5,6,1141,"Kota Gede, Yogyakarta",1342,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:12.949814+07:00,"2025-08-09T16-06-12.949814+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 16:05:00+07:00
65,123,16,5,6,1114,"Prawirotaman, Yogyakarta",1237,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:06:13.101357+07:00,"2025-08-09T16-06-13.101357+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 16:05:00+07:00
66,41,16,5,11,464,"Stasiun Lempuyangan, Yogyakarta",505,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:19.522370+07:00,"2025-08-09T16-11-19.522370+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:10:00+07:00
67,45,16,5,11,528,"Stasiun Tugu, Yogyakarta",573,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:19.670272+07:00,"2025-08-09T16-11-19.670272+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:10:00+07:00
68,81,16,5,11,518,"Tugu Jogja, Yogyakarta",599,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:19.778615+07:00,"2025-08-09T16-11-19.778615+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 16:10:00+07:00
69,140,16,5,11,589,"Malioboro, Yogyakarta",729,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:19.966390+07:00,"2025-08-09T16-11-19.966390+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 16:10:00+07:00
70,173,16,5,11,1141,"Kota Gede, Yogyakarta",1314,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:20.167052+07:00,"2025-08-09T16-11-20.167052+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 16:10:00+07:00
71,150,16,5,11,1114,"Prawirotaman, Yogyakarta",1264,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:11:20.383600+07:00,"2025-08-09T16-11-20.383600+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 16:10:00+07:00
72,50,16,5,16,464,"Stasiun Lempuyangan, Yogyakarta",514,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.098598+07:00,"2025-08-09T16-16-25.098598+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:15:00+07:00
73,48,16,5,16,528,"Stasiun Tugu, Yogyakarta",576,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.266418+07:00,"2025-08-09T16-16-25.266418+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:15:00+07:00
74,89,16,5,16,518,"Tugu Jogja, Yogyakarta",607,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.371311+07:00,"2025-08-09T16-16-25.371311+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 16:15:00+07:00
75,173,16,5,16,589,"Malioboro, Yogyakarta",762,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.447642+07:00,"2025-08-09T16-16-25.447642+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 16:15:00+07:00
76,190,16,5,16,1141,"Kota Gede, Yogyakarta",1331,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.704150+07:00,"2025-08-09T16-16-25.704150+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 16:15:00+07:00
77,181,16,5,16,1114,"Prawirotaman, Yogyakarta",1295,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:16:25.825467+07:00,"2025-08-09T16-16-25.825467+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 16:15:00+07:00
78,55,16,5,21,464,"Stasiun Lempuyangan, Yogyakarta",519,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:32.450368+07:00,"2025-08-09T16-21-32.450368+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:20:00+07:00
79,61,16,5,21,528,"Stasiun Tugu, Yogyakarta",589,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:32.589431+07:00,"2025-08-09T16-21-32.589431+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:20:00+07:00
80,99,16,5,21,518,"Tugu Jogja, Yogyakarta",617,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:32.688787+07:00,"2025-08-09T16-21-32.688787+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 16:20:00+07:00
81,177,16,5,21,589,"Malioboro, Yogyakarta",766,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:32.835194+07:00,"2025-08-09T16-21-32.835194+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 16:20:00+07:00
82,205,16,5,21,1141,"Kota Gede, Yogyakarta",1346,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:32.991103+07:00,"2025-08-09T16-21-32.991103+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 16:20:00+07:00
83,174,16,5,21,1114,"Prawirotaman, Yogyakarta",1288,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:21:33.161828+07:00,"2025-08-09T16-21-33.161828+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 16:20:00+07:00
84,73,16,5,26,464,"Stasiun Lempuyangan, Yogyakarta",537,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:26:38.089111+07:00,"2025-08-09T16-26-38.089111+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 16:25:00+07:00
85,42,16,5,26,528,"Stasiun Tugu, Yogyakarta",570,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 16:26:38.202565+07:00,"2025-08-09T16-26-38.202565+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 16:25:00+07:00
